"Size","Method","Score"
50000,"FuseSOM",6.101687721
1e+05,"FuseSOM",12.524220858
150000,"FuseSOM",20.634844276
2e+05,"FuseSOM",27.431705952
250000,"FuseSOM",37.496371855
3e+05,"FuseSOM",43.671623027
350000,"FuseSOM",51.991021169
4e+05,"FuseSOM",60.012686439
50000,"FlowSOM",6.127905161
1e+05,"FlowSOM",9.102722437
150000,"FlowSOM",12.812884201
2e+05,"FlowSOM",15.931952582
250000,"FlowSOM",20.007229719
3e+05,"FlowSOM",23.827164388
350000,"FlowSOM",27.175335399
4e+05,"FlowSOM",30.218412166
50000,"PhenGraph",27.161951921
1e+05,"PhenGraph",65.95655116
150000,"PhenGraph",164.972040502
2e+05,"PhenGraph",226.670577962
250000,"PhenGraph",330.548522375
3e+05,"PhenGraph",584.073610052
350000,"PhenGraph",775.80794137
4e+05,"PhenGraph",867.794689026
